Day,Sales,Trading Profit,Operating Expense,Net Profit
11,6856302,3686182,681365,3004817
12,7770763,3360734,957890,2402844
13,8713300,4257418,979820,3277598
14,12496939,7967623,1029347,6938276
15,13630823,9036384,1084449,7951935
16,14642056,9988972,1111633,8877339
17,15731143,10041490,2639168,7402322
18,18168689,12420513,2664333,9756180
19,19059298,11610982,3516105,8094877
20,20177027,12709132,3579490,9129642
21,22825356,14943546,4197058,10746488
22,24172575,16266233,4222866,12043367
23,25068678,16550907,4390460,12160447
24,25943133,16792197,4441982,12350215
25,28413556,19226869,4465932,14760937
26,28949903,19491404,4535605,14955799
27,29980878,20505433,4574467,15930966
28,30698987,21204942,4598329,16606613
29,31950109,22423441,4640888,17782553
30,33467364,23901025,4670050,19230975
31,35712544,26007514,4704602,21302912
32,37700849,27478244,4846499,22631745
33,44212342,32208893,5205433,27003460
34,53905076,41557515,5774171,35783344
35,67642950,54828957,6775424,48053533
36,68907490,56047450,6808988,49238462
37,69598431,56713503,6855836,49857667
38,70316000,57406033,6937622,50468411
39,72996031,59986995,6974236,53012759
40,75991938,61857486,7123456,54734030
41,79597447,65369382,7159182,58210200
42,82630352,68316725,7271013,61045712
43,85086431,70684899,7310100,63374799
44,94812810,80058616,7347338,72711278
45,96809704,81995436,7449639,74545797
46,99716450,84800463,7504205,77296258
47,102641080,87629473,7616256,80013217
48,106325231,91082424,7666697,83415727
49,110748565,95258469,7731774,87526695
50,115007686,99270648,7777851,91492797
51,118016734,102142613,7830093,94312520
52,128062112,111756244,7944859,103811385
53,136245369,119407300,8016804,111390496
54,142682472,125531032,8155899,117375133
55,145270429,128008982,8273545,119735437
56,151170314,132457428,8371746,124085682
57,158694086,138411570,8502546,129909024
58,161555030,141140858,8569410,132571448
59,165014533,144487284,8623274,135864010
60,169177177,148326482,8691162,139635320
61,176833009,155759054,8744290,147014764
62,183162086,160435296,8880453,151554843
63,189267528,165654263,9859910,155794353
64,196338560,172512659,9910794,162601865
65,221093739,195274015,10044442,185229573
66,228762294,202751404,10095429,192655975
67,234982881,208778707,10150528,198628179
68,241244225,214842903,10203702,204639201
69,246962236,219874354,10340647,209533707
70,266006868,237951718,10399522,227552196
71,282307136,253808724,10485432,243323292
72,301259676,272277952,10543610,261734342
73,306320646,276129661,10610620,265519041
74,313023838,282698698,10660860,272037838
75,316297014,285893553,10733144,275160409
76,319382701,287883642,10793333,277090309
77,323469339,291882631,10846106,281036525
78,325892313,294236493,10902929,283333564
79,328225878,294577098,11482616,283094482
80,330933594,296595034,11568691,285026343
81,334333843,299934839,11624333,288310506
82,339093459,303978109,11682357,292295752
83,344547166,307997518,12034823,295962695
84,367945372,330794086,12095039,318699047
85,388949116,351255824,12150697,339105127
86,393445876,355635686,12208782,343426904
87,397291752,359384192,12268701,347115491
88,401016052,363013534,12326415,350687119
89,404759234,366661986,12385811,354276175
90,407191916,369029326,12443023,356586303
